customer_id,tenure_months,monthly_spend,support_tickets,churned,tenure_bin,cluster
1,39,95.69644015971352,8,0,"(35.8, 47.4]",0
2,52,161.24028750997573,9,0,"(47.4, 59.0]",1
3,29,135.08504425536364,7,0,"(24.2, 35.8]",0
4,15,164.90804015348513,7,0,"(12.6, 24.2]",1
5,43,182.56719056179276,0,1,"(35.8, 47.4]",1
6,8,131.10746817751254,9,0,"(0.942, 12.6]",0
7,21,196.483290516628,4,0,"(12.6, 24.2]",1
8,39,129.45581291753933,3,0,"(35.8, 47.4]",0
9,58,134.59597789201086,1,1,"(47.4, 59.0]",0
10,19,119.86680953760062,7,0,"(12.6, 24.2]",0
11,23,36.38037638923945,2,0,"(12.6, 24.2]",2
12,11,150.75146587704108,3,0,"(0.942, 12.6]",1
13,11,118.54033524184008,6,0,"(0.942, 12.6]",0
14,24,101.1638805348988,9,0,"(12.6, 24.2]",0
15,53,183.8848301125892,8,0,"(47.4, 59.0]",1
16,36,73.63270127755109,1,1,"(35.8, 47.4]",2
17,40,114.24840968270202,2,0,"(35.8, 47.4]",0
18,24,145.5755368688234,3,1,"(12.6, 24.2]",1
19,3,163.3649196212979,9,0,"(0.942, 12.6]",1
20,22,102.68242543031104,0,0,"(12.6, 24.2]",0
21,53,171.57645470336774,6,1,"(47.4, 59.0]",1
22,2,158.40519343677155,1,0,"(0.942, 12.6]",1
23,24,31.922476013335853,4,0,"(12.6, 24.2]",2
24,44,28.25502795283393,0,0,"(35.8, 47.4]",2
25,30,131.74502319597644,2,0,"(24.2, 35.8]",0
26,38,82.53441348057456,1,0,"(35.8, 47.4]",0
27,2,57.64354239413255,0,0,"(0.942, 12.6]",2
28,21,124.33698820491291,6,0,"(12.6, 24.2]",0
29,33,81.48137788217811,4,0,"(24.2, 35.8]",0
30,12,116.7074150085326,0,0,"(0.942, 12.6]",0
31,58,102.82144861704296,5,0,"(47.4, 59.0]",0
32,22,125.25789907084766,4,0,"(12.6, 24.2]",0
33,44,92.05408800385064,2,0,"(35.8, 47.4]",0
34,25,145.5801632654477,6,0,"(24.2, 35.8]",1
35,49,52.412109022873736,9,0,"(47.4, 59.0]",2
36,27,145.3702639208742,8,1,"(24.2, 35.8]",1
37,59,94.09901858435506,8,0,"(47.4, 59.0]",0
38,42,177.37716887379509,8,0,"(35.8, 47.4]",1
39,28,112.74248987555796,1,0,"(24.2, 35.8]",0
40,16,195.1598628686188,2,0,"(12.6, 24.2]",1
41,15,128.34837119737284,6,0,"(12.6, 24.2]",0
42,47,60.29283186313771,4,1,"(35.8, 47.4]",2
43,51,167.92231463200085,1,0,"(47.4, 59.0]",1
44,44,82.1148730080296,2,1,"(35.8, 47.4]",0
45,55,82.57145860688303,9,1,"(47.4, 59.0]",0
46,52,25.724842667329725,5,1,"(47.4, 59.0]",2
47,57,118.76875565733356,6,1,"(47.4, 59.0]",0
48,3,116.19623067185414,8,0,"(0.942, 12.6]",0
49,37,84.0784671689575,0,0,"(35.8, 47.4]",0
50,51,180.95910732126663,6,0,"(47.4, 59.0]",1
51,7,43.17471169393591,7,0,"(0.942, 12.6]",2
52,21,79.41791239582798,2,0,"(12.6, 24.2]",0
53,9,77.88489764240522,3,0,"(0.942, 12.6]",2
54,39,36.61230552117429,9,0,"(35.8, 47.4]",2
55,18,106.60617093013278,5,0,"(12.6, 24.2]",0
56,4,143.80124907729493,9,0,"(0.942, 12.6]",1
57,25,112.09826243850702,6,0,"(24.2, 35.8]",0
58,14,48.25598288891487,3,0,"(12.6, 24.2]",2
59,50,87.91147374357307,7,1,"(47.4, 59.0]",0
60,58,20.46710438905638,4,0,"(47.4, 59.0]",2
